Site;Vegetation Class (Age/Fire);Drought Treatment;Plot #;GPS Location;Species;Plant Individual Number;TOMST_Logger_Number;Distance To Focal Individual (cm);Was there a neighbour plant?;Neighbour species;Deployment Date;Retrieval Date;Notes;;;;;;;;;;;
Lygra;Middle;90;5,2;;Vaccium myrtillus;3;95221001;;;;4/20/2023;6/1/2023;;;;;;;;;;;;
Lygra;Middle;90;5,2;;Empetrum Negrum;4;95221006;;;;4/20/2023;6/1/2023;;;;;;;;;;;;
Lygra;Middle;50;5,3;;Calluna vulgaris;4;94201707;;;;4/20/2023;6/1/2023;;;;;;;;;;;;
Lygra;Middle;50;5,3;;Vaccium vitis idea;1;94195215;;;;4/20/2023;6/1/2023;;;;;;;;;;;;
Lygra;Middle;50;5,3;;Empetrum Negrum;4;95221018;;;;4/20/2023;6/1/2023;;;;;;;;;;;;
Lygra;Middle;50;6,1;;Calluna vulgaris;3;95221041;;;;4/20/2023;6/1/2023;;;;;;;;;;;;
Lygra;Middle;50;6,1;;Vaccium vitis idea;4;94195231;;;;4/20/2023;6/1/2023;;;;;;;;;;;;
Lygra;Middle;0;6,2;;Calluna vulgaris;1;95221040;;;;4/20/2023;6/1/2023;;;;;;;;;;;;
Lygra;Middle;0;6,2;;Vaccium vitis idea;5;95221025;;;;4/20/2023;6/1/2023;;;;;;;;;;;;
Lygra;Middle;90;6,3;;Calluna vulgaris;2;94200491;;;;4/20/2023;6/1/2023;;;;;;;;;;;;
Lygra;Middle;90;6,3;;Vaccium vitis idea;5;94195271;;;;4/20/2023;6/1/2023;;;;;;;;;;;;
Lygra;Old;90;7,1;;Calluna vulgaris;2;94195226;;;;4/21/2023;6/1/2023;;;;;;;;;;;;
Lygra;Old;90;7,1;;Vaccium vitis idea;1;94195213;;;;4/21/2023;6/1/2023;;;;;;;;;;;;
Lygra;Old;90;7,1;;Vaccium myrtillus;3;94195217;;;;4/21/2023;6/1/2023;;;;;;;;;;;;
Lygra;Old;90;7,1;;Empetrum Negrum;4;94195214;;;;4/21/2023;6/1/2023;;;;;;;;;;;;
Lygra;Old;50;7,2;;Calluna vulgaris;2;94195220;;;;4/21/2023;6/1/2023;;;;;;;;;;;;
Lygra;Old;50;7,2;;Vaccium vitis idea;4;94195255;;;;4/21/2023;6/1/2023;;;;;;;;;;;;
Lygra;Old;50;7,2;;Vaccium myrtillus;5;94195211;;;;4/21/2023;6/1/2023;;;;;;;;;;;;
Lygra;Old;50;7,2;;Empetrum Negrum;2;94195218;;;;4/21/2023;6/1/2023;;;;;;;;;;;;
Lygra;Old;0;7,3;;Calluna vulgaris;5;94195216;;;;4/21/2023;6/1/2023;;;;;;;;;;;;
Lygra;Old;0;7,3;;Vaccium vitis idea;5;94195262;;;;4/21/2023;6/1/2023;;;;;;;;;;;;
Lygra;Old;0;7,3;;Vaccium myrtillus;1;94195269;;;;4/21/2023;6/1/2023;;;;;;;;;;;;
Lygra;Old;0;7,3;;Empetrum Negrum;4;94195208;;;;4/21/2023;6/1/2023;;;;;;;;;;;;
Lygra;Old;90;8,1;;Calluna vulgaris;2;94195212;;;;4/21/2023;6/1/2023;;;;;;;;;;;;
Lygra;Old;90;8,1;;Vaccium vitis idea;1;94195258;;;;4/21/2023;6/1/2023;;;;;;;;;;;;
